ACOUSTICS,,
,,
7,Sweden Swedish University of Agricultural Sciences ,90.64
8,Canada University of British Columbia ,90.02
9,USA University of Florida ,89.55
10,USA Colorado State University ,89.22
,,
,,
,,
,,
BIOLOGY,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,United Kingdom University of Cambridge ,93.53
3,United Kingdom University of Oxford ,92.79
4,United Kingdom University College London ,87.89
5,"USA University of California, Berkeley ",87.69
6,USA Stanford University ,86.84
7,United Kingdom Imperial College London ,85.85
8,USA Cornell University ,84.69
9,"USA University of California, San Diego ",84.28
10,"USA University of California, Davis ",83.76
,,
,,
,,
,,
BIOPHYSICS,,
,,
World Rank,Institution,Score
1,Japan University of Tokyo ,100
2,Japan Osaka University ,96.89
3,USA Harvard University ,95.73
4,South Korea Seoul National University ,94.28
5,Japan Kyoto University ,93.8
6,China Shanghai Jiao Tong University ,88.24
6,United Kingdom University of Oxford ,88.24
8,South Korea Yonsei University ,88.15
9,South Korea Korea University ,87.73
9,Japan Tohoku University ,87.73
,,
,,
,,
,,
BIOTECHNOLOGY & APPLIED MICROBIOLOGY,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,USA Massachusetts Institute of Technology ,90.49
3,USA Stanford University ,90.08
4,USA University of Washington ,88.28
5,"USA University of California, Berkeley ",87.98
6,China Zhejiang University ,87.77
7,USA Cornell University ,86.71
8,United Kingdom University of Cambridge ,86.52
9,Canada University of Toronto ,86.12
10,China University of Chinese Academy of Sciences ,85.44
,,
,,
,,
,,
BUSINESS,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,USA University of Pennsylvania ,94.45
3,USA University of Michigan ,92.31
4,Netherlands Erasmus University Rotterdam ,92.03
5,USA Indiana University - Bloomington ,88.97
6,USA University of Minnesota ,88.83
7,USA Pennsylvania State University ,87.81
8,USA Duke University ,87.12
9,USA Arizona State University ,86.39
9,"USA University of Maryland, College Park ",86.39
,,
,,
,,
,,
"BUSINESS, FINANCE",,
,,
World Rank,Institution,Score
1,USA New York University ,100
2,USA University of Pennsylvania ,99.28
3,USA University of Chicago ,99.1
4,USA Harvard University ,96.72
5,USA Columbia University ,93.8
6,USA University of Michigan ,91.39
7,USA Massachusetts Institute of Technology ,90.7
8,USA Stanford University ,90.2
9,USA University of Texas at Austin ,89.14
10,Netherlands Tilburg University ,88.13
,,
,,
,,
,,
CARDIAC & CARDIOVASCULAR SYSTEMS,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,USA Duke University ,92.43
3,USA Columbia University ,86.8
4,Canada University of Toronto ,85.37
5,USA University of Pennsylvania ,83.99
6,USA Johns Hopkins University ,83.05
7,Netherlands Erasmus University Rotterdam ,82.71
8,United Kingdom Imperial College London ,82.54
9,USA Stanford University ,81.83
10,USA Emory University ,81.78
,,
,,
,,
,,
CELL & TISSUE ENGINEERING,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,USA Stanford University ,85.06
3,Canada University of Toronto ,80.61
4,Japan Kyoto University ,79.75
4,"USA University of California, San Francisco ",79.75
6,"USA University of California, Los Angeles ",79.39
6,United Kingdom University of Cambridge ,79.39
8,USA Massachusetts Institute of Technology ,79.21
9,USA Johns Hopkins University ,76.22
10,Singapore National University of Singapore ,75.55
,,
,,
,,
,,
CELL BIOLOGY,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,"USA University of California, San Francisco ",87.25
3,USA Massachusetts Institute of Technology ,86.16
4,USA Stanford University ,85.94
5,USA University of Pennsylvania ,85.89
6,"USA University of California, San Diego ",85.65
7,United Kingdom University of Cambridge ,85.26
8,Canada University of Toronto ,84.41
9,USA Yale University ,84.31
10,USA Johns Hopkins University ,83.33
,,
,,
,,
,,
"CHEMISTRY, ANALYTICAL",,
,,
World Rank,Institution,Score
1,China Nanjing University ,100
2,China Hunan University ,99.89
3,China Zhejiang University ,97.61
4,China Jilin University ,96.41
5,China Wuhan University ,95.27
6,China University of Chinese Academy of Sciences ,94.68
7,China Southwest University (China) ,92.1
8,China Tsinghua University ,90.68
9,Spain University of Barcelona ,90.32
10,Singapore National University of Singapore ,90.27
,,
,,
,,
,,
"CHEMISTRY, APPLIED",,
,,
World Rank,Institution,Score
1,China Jiangnan University ,100
2,China South China University of Technology ,96.94
3,China China Agricultural University ,96.07
4,China Zhejiang University ,95.28
5,Taiwan National Taiwan University ,92.41
6,Portugal University of Porto ,91.1
7,China Nanjing Agricultural University ,89.58
8,Netherlands Wageningen University and Research Centre ,88.78
9,"USA University of California, Davis ",88.42
10,Taiwan China Medical University (Taiwan) ,87.78
,,
,,
,,
,,
"CHEMISTRY, INORGANIC & NUCLEAR",,
,,
World Rank,Institution,Score
1,China Nanjing University ,100
2,Spain University of Valencia ,95.22
3,Spain University of Barcelona ,94.89
4,France University of Strasbourg ,94.46
5,China University of Chinese Academy of Sciences ,93.87
6,France Grenoble Alpes University ,92.63
7,China Nankai University ,91.4
7,"USA University of California, Berkeley ",91.4
9,China Jilin University ,91.22
10,Portugal University of Lisbon ,90.25
,,
,,
,,
,,
"CHEMISTRY, MEDICINAL",,
,,
World Rank,Institution,Score
1,Italy University of Florence ,100
2,Belgium Katholieke Universiteit Leuven ,98.98
3,China China Pharmaceutical University ,92.7
4,Italy University of Naples Federico II ,91.6
5,USA University of North Carolina at Chapel Hill ,90.42
6,USA Harvard University ,89.88
7,Japan Kyoto University ,89.09
8,Italy Sapienza University of Rome ,88.68
9,China Shandong University ,88.31
10,Germany University of Bonn ,87.05
,,
,,
,,
,,
"CHEMISTRY, MULTIDISCIPLINARY",,
,,
World Rank,Institution,Score
1,"USA University of California, Berkeley ",100
2,USA Massachusetts Institute of Technology ,98.39
3,Japan University of Tokyo ,97.1
4,Japan Kyoto University ,97.08
5,USA Northwestern University ,96.33
6,China Peking University ,95.11
7,Singapore Nanyang Technological University ,95.04
8,USA Stanford University ,94.6
9,Japan Osaka University ,94.51
10,United Kingdom University of Cambridge ,94.3
,,
,,
,,
,,
"CHEMISTRY, ORGANIC",,
,,
World Rank,Institution,Score
1,China Lanzhou University ,100
2,Japan Kyoto University ,99.77
3,China Nankai University ,98.8
4,Japan Osaka University ,96.89
5,China Peking University ,96.77
6,China Zhejiang University ,95.1
7,Japan University of Tokyo ,94.75
8,Singapore Nanyang Technological University ,93.95
9,United Kingdom University of Oxford ,93.04
10,Singapore National University of Singapore ,90.47
,,
,,
,,
,,
"CHEMISTRY, PHYSICAL",,
,,
World Rank,Institution,Score
1,"USA University of California, Berkeley ",100
2,USA Massachusetts Institute of Technology ,98.41
3,USA Georgia Institute of Technology ,96.04
4,Singapore Nanyang Technological University ,95.86
5,USA Northwestern University ,95.8
6,USA University of Chicago ,95.43
7,China Tsinghua University ,93.96
8,China University of Science and Technology of China ,93.93
9,USA Stanford University ,93.7
10,Singapore National University of Singapore ,93.69
,,
,,
,,
,,
CLINICAL NEUROLOGY,,
,,
World Rank,Institution,Score
1,USA Harvard University ,100
2,United Kingdom University College London ,95.46
3,"USA University of California, San Francisco ",93.54
4,Canada University of Toronto ,93.1
5,USA Johns Hopkins University ,90.72
6,USA University of Pennsylvania ,89.82
7,USA Columbia University ,87.92
8,"USA University of California, Los Angeles ",87.68
9,Netherlands VU University Amsterdam ,85.8
10,USA University of Pittsburgh ,85.79
,,
,,
,,
,,
COMMUNICATION,,
,,
World Rank,Institution,Score
1,USA Ohio State University ,100
2,USA Michigan State University ,96.25
3,USA University of Michigan ,93.13
4,USA University of Wisconsin–Madison ,92.01
5,USA University of Texas at Austin ,90.36
6,USA University of Illinois at Urbana–Champaign ,88.02
7,Netherlands University of Amsterdam ,87.29
8,"USA University of Maryland, College Park ",86.92
9,USA Pennsylvania State University ,86.34
10,USA University of Pennsylvania ,85.95
,,
,,
,,
,,
"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",,
,,
World Rank,Institution,Score
1,Singapore Nanyang Technological University ,100
